mean, std, layers, approx, hidden_dim, attn_heads_hidden, attn_heads_output, act
0.796,0.037,3,-1,32,1,1,tanh
0.796,0.04,4,2,128,1,4,tanh
0.787,0.025,3,2,128,1,4,tanh
0.784,0.032,4,-1,128,1,4,tanh
0.783,0.062,3,2,32,6,6,relu
0.779,0.03,3,2,32,6,6,tanh
0.777,0.06,4,-1,32,4,1,tanh
0.777,0.032,4,2,128,1,1,tanh
0.773,0.03,3,2,32,1,1,LeakyRelu
0.772,0.045,4,2,256,4,4,tanh
0.771,0.02,2,-1,256,1,6,tanh
0.77,0.041,4,-1,256,6,6,tanh
0.768,0.055,4,2,128,1,1,LeakyRelu
0.767,0.058,4,2,256,4,6,tanh
0.765,0.015,4,-1,128,1,6,LeakyRelu
0.763,0.041,4,2,32,4,4,tanh
0.761,0.038,3,-1,256,1,6,tanh
0.761,0.045,3,2,32,6,6,LeakyRelu
0.759,0.034,4,-1,32,4,4,tanh
0.759,0.048,4,-1,32,4,4,relu
0.758,0.028,4,2,256,1,1,relu
0.757,0.04,4,2,32,6,4,tanh
0.756,0.038,4,-1,256,4,6,tanh
0.755,0.073,3,-1,32,6,6,LeakyRelu
0.755,0.057,4,-1,128,4,6,tanh
0.755,0.047,2,-1,32,6,6,relu
0.753,0.056,3,-1,256,1,4,relu
0.752,0.023,3,2,32,4,4,tanh
0.752,0.027,2,2,32,4,1,tanh
0.751,0.051,4,-1,32,1,4,tanh
0.751,0.063,3,-1,32,1,4,LeakyRelu
0.75,0.047,2,-1,128,1,6,tanh
0.75,0.062,4,2,128,1,6,tanh
0.75,0.013,2,2,32,4,4,tanh
0.75,0.049,4,2,32,4,4,relu
0.749,0.057,4,-1,128,1,6,relu
0.749,0.06,3,2,256,1,6,LeakyRelu
0.748,0.066,3,-1,256,1,6,LeakyRelu
0.747,0.016,2,2,32,4,6,LeakyRelu
0.747,0.019,3,2,256,1,1,LeakyRelu
0.747,0.015,2,-1,32,1,4,LeakyRelu
0.747,0.025,3,2,256,1,6,tanh
0.747,0.055,4,2,32,6,6,tanh
0.746,0.021,4,-1,32,1,6,tanh
0.746,0.056,3,2,256,6,4,tanh
0.745,0.066,3,-1,32,1,6,tanh
0.744,0.057,3,-1,32,4,4,LeakyRelu
0.744,0.044,3,-1,256,1,6,relu
0.743,0.065,4,-1,128,1,6,tanh
0.742,0.039,4,-1,32,4,6,relu
0.742,0.032,2,2,32,6,6,tanh
0.741,0.053,4,2,32,6,1,tanh
0.741,0.017,4,2,256,1,4,tanh
0.741,0.027,4,2,32,1,6,relu
0.74,0.059,4,-1,128,6,6,tanh
0.74,0.018,4,2,128,1,1,relu
0.74,0.05,3,2,256,1,6,relu
0.74,0.031,4,-1,256,1,6,tanh
0.74,0.051,4,-1,32,4,4,LeakyRelu
0.74,0.053,3,2,32,6,4,tanh
0.74,0.023,2,-1,32,4,6,tanh
0.739,0.034,4,2,32,4,6,relu
0.738,0.057,4,2,32,1,1,relu
0.738,0.065,2,2,256,1,4,LeakyRelu
0.738,0.071,3,2,128,1,4,relu
0.738,0.071,4,-1,32,1,1,tanh
0.737,0.066,3,-1,32,4,4,tanh
0.737,0.035,2,2,32,4,4,relu
0.737,0.036,2,2,128,1,6,relu
0.737,0.045,3,2,128,4,6,relu
0.737,0.02,4,-1,32,1,4,relu
0.737,0.047,4,2,256,1,1,LeakyRelu
0.736,0.025,4,2,32,6,4,LeakyRelu
0.736,0.053,2,-1,32,1,1,LeakyRelu
0.735,0.023,2,2,256,1,4,tanh
0.735,0.06,2,-1,32,6,6,tanh
0.735,0.058,3,-1,128,1,6,LeakyRelu
0.735,0.035,4,-1,32,1,4,LeakyRelu
0.735,0.032,2,-1,32,6,4,LeakyRelu
0.734,0.036,4,2,32,1,6,tanh
0.734,0.043,4,2,128,1,6,LeakyRelu
0.734,0.055,4,2,32,4,6,LeakyRelu
0.734,0.046,4,-1,128,1,1,tanh
0.734,0.048,2,-1,32,4,4,LeakyRelu
0.734,0.02,2,-1,32,4,6,relu
0.734,0.036,3,2,256,1,4,tanh
0.734,0.021,4,-1,128,1,4,LeakyRelu
0.733,0.071,4,-1,32,6,4,tanh
0.733,0.066,3,2,128,1,6,tanh
0.733,0.029,2,2,32,6,4,LeakyRelu
0.733,0.051,4,2,256,1,4,relu
0.733,0.036,2,-1,32,4,1,tanh
0.732,0.053,2,-1,256,1,4,tanh
0.732,0.065,4,2,32,1,4,tanh
0.731,0.048,3,-1,32,1,6,LeakyRelu
0.731,0.03,2,2,128,1,4,relu
0.73,0.041,2,-1,128,1,4,tanh
0.73,0.033,2,2,128,4,4,LeakyRelu
0.73,0.018,4,-1,32,6,4,LeakyRelu
0.73,0.021,3,2,32,4,4,LeakyRelu
0.73,0.036,4,2,32,4,4,LeakyRelu
0.73,0.051,2,-1,128,4,6,relu
0.729,0.034,4,2,32,4,6,tanh
0.729,0.045,4,2,256,6,6,tanh
0.729,0.045,4,2,256,6,4,tanh
0.728,0.057,4,2,32,1,1,tanh
0.727,0.049,3,-1,128,1,6,tanh
0.727,0.06,4,-1,32,4,6,LeakyRelu
0.727,0.041,2,2,32,6,4,relu
0.727,0.038,2,-1,32,4,4,relu
0.727,0.053,4,2,128,1,4,LeakyRelu
0.727,0.038,4,2,128,6,4,tanh
0.726,0.064,4,2,128,4,4,tanh
0.726,0.052,2,2,128,1,4,tanh
0.726,0.061,4,-1,256,6,4,tanh
0.726,0.051,3,-1,128,1,4,tanh
0.725,0.036,3,2,256,1,1,tanh
0.725,0.087,3,-1,256,1,4,LeakyRelu
0.724,0.082,4,-1,128,4,1,tanh
0.724,0.043,3,2,32,1,4,tanh
0.724,0.051,4,-1,32,6,1,tanh
0.723,0.045,3,2,32,4,6,tanh
0.723,0.012,3,2,32,4,1,relu
0.723,0.024,3,2,256,1,4,LeakyRelu
0.723,0.052,4,-1,32,1,1,LeakyRelu
0.722,0.054,3,2,128,4,1,tanh
0.722,0.045,4,2,128,1,6,relu
0.722,0.028,2,2,32,4,6,tanh
0.722,0.04,2,-1,128,1,6,relu
0.722,0.036,2,-1,32,1,4,tanh
0.722,0.039,2,2,128,1,6,LeakyRelu
0.722,0.037,3,-1,256,1,1,LeakyRelu
0.722,0.028,3,2,256,1,4,relu
0.721,0.074,2,2,256,1,6,LeakyRelu
0.721,0.036,2,-1,128,4,4,relu
0.721,0.051,2,2,32,6,6,LeakyRelu
0.72,0.042,2,-1,32,6,6,LeakyRelu
0.72,0.03,4,-1,32,6,6,tanh
0.72,0.037,2,2,32,1,4,tanh
0.719,0.039,2,-1,128,6,4,tanh
0.718,0.012,3,-1,32,1,6,relu
0.718,0.033,2,-1,128,1,1,LeakyRelu
0.718,0.039,4,-1,256,1,4,LeakyRelu
0.718,0.041,2,-1,256,4,4,tanh
0.717,0.026,4,-1,256,1,4,relu
0.717,0.055,2,-1,128,1,1,relu
0.717,0.041,3,-1,32,6,1,LeakyRelu
0.717,0.022,3,-1,256,4,6,tanh
0.717,0.078,2,-1,128,4,6,LeakyRelu
0.717,0.051,2,-1,128,6,6,tanh
0.717,0.059,2,-1,32,4,1,LeakyRelu
0.716,0.028,2,2,128,4,1,LeakyRelu
0.716,0.069,3,-1,256,1,4,tanh
0.716,0.034,2,2,32,1,4,LeakyRelu
0.716,0.023,2,2,32,6,6,relu
0.715,0.037,4,2,256,1,6,tanh
0.715,0.022,2,2,256,1,4,relu
0.715,0.034,4,2,128,6,6,tanh
0.715,0.041,3,-1,32,1,4,relu
0.715,0.076,3,-1,32,4,6,relu
0.715,0.053,4,-1,32,6,4,relu
0.715,0.014,3,2,128,1,1,tanh
0.715,0.029,2,2,128,1,1,tanh
0.714,0.034,4,2,32,1,6,LeakyRelu
0.714,0.056,3,-1,256,1,1,tanh
0.714,0.038,2,-1,256,1,1,LeakyRelu
0.714,0.028,4,-1,256,4,6,LeakyRelu
0.714,0.058,2,-1,128,1,6,LeakyRelu
0.714,0.057,3,-1,32,4,6,LeakyRelu
0.714,0.046,2,2,32,4,1,LeakyRelu
0.714,0.028,4,2,32,1,1,LeakyRelu
0.714,0.062,2,2,32,6,1,LeakyRelu
0.713,0.067,2,-1,32,1,6,relu
0.713,0.051,4,2,32,4,1,tanh
0.713,0.07,2,-1,32,4,4,tanh
0.713,0.06,4,2,32,1,4,LeakyRelu
0.713,0.039,2,-1,32,1,6,tanh
0.712,0.051,2,2,32,4,1,relu
0.712,0.027,4,2,32,4,1,LeakyRelu
0.712,0.033,4,-1,128,6,6,relu
0.711,0.036,3,-1,32,1,1,LeakyRelu
0.711,0.045,3,2,32,1,6,relu
0.711,0.032,2,2,128,4,6,tanh
0.711,0.05,3,-1,128,1,4,LeakyRelu
0.71,0.055,4,2,128,6,6,relu
0.71,0.043,3,-1,32,4,4,relu
0.71,0.062,3,-1,32,6,4,LeakyRelu
0.71,0.042,3,2,128,1,1,LeakyRelu
0.709,0.056,4,2,128,1,4,relu
0.709,0.032,4,2,32,1,4,relu
0.709,0.068,3,2,32,1,6,tanh
0.709,0.051,3,2,32,1,1,relu
0.709,0.042,3,-1,32,6,4,relu
0.708,0.057,2,2,128,1,6,tanh
0.708,0.054,2,-1,128,4,4,tanh
0.708,0.027,2,2,128,6,6,tanh
0.708,0.084,3,2,128,6,1,LeakyRelu
0.708,0.038,2,2,128,1,1,LeakyRelu
0.708,0.056,4,-1,256,4,4,tanh
0.708,0.034,4,-1,128,1,4,relu
0.708,0.042,2,-1,32,1,1,relu
0.707,0.073,4,-1,32,6,6,LeakyRelu
0.707,0.046,4,-1,32,4,6,tanh
0.707,0.061,4,-1,256,1,1,LeakyRelu
0.707,0.038,3,2,32,1,4,LeakyRelu
0.707,0.038,2,-1,32,6,1,LeakyRelu
0.706,0.03,4,-1,128,1,1,LeakyRelu
0.706,0.052,2,2,256,4,1,relu
0.705,0.041,4,-1,32,1,6,LeakyRelu
0.705,0.022,3,2,256,4,6,tanh
0.704,0.061,4,-1,128,6,4,tanh
0.704,0.026,2,2,32,1,4,relu
0.704,0.054,3,-1,128,1,1,tanh
0.703,0.038,3,-1,32,6,1,tanh
0.703,0.042,4,2,256,6,1,tanh
0.703,0.066,4,-1,32,1,1,relu
0.703,0.065,2,-1,32,4,6,LeakyRelu
0.702,0.041,4,2,256,1,1,tanh
0.702,0.041,3,2,32,4,6,LeakyRelu
0.702,0.028,3,2,32,6,1,tanh
0.702,0.041,3,2,32,1,1,tanh
0.702,0.07,4,2,256,1,6,LeakyRelu
0.702,0.038,2,2,256,6,1,tanh
0.702,0.061,3,2,32,1,6,LeakyRelu
0.702,0.044,3,-1,256,6,4,tanh
0.701,0.028,2,2,32,4,4,LeakyRelu
0.701,0.032,2,-1,256,6,1,tanh
0.701,0.03,3,2,32,6,1,LeakyRelu
0.7,0.036,2,-1,32,1,6,LeakyRelu
0.7,0.051,3,-1,256,6,1,tanh
0.7,0.051,2,-1,256,1,1,tanh
0.699,0.043,3,2,128,1,6,LeakyRelu
0.699,0.062,3,-1,32,6,4,tanh
0.699,0.073,2,-1,256,1,6,relu
0.698,0.05,3,-1,32,4,1,relu
0.698,0.035,3,2,128,4,4,tanh
0.698,0.049,2,-1,256,1,6,LeakyRelu
0.698,0.027,2,2,32,1,6,relu
0.698,0.031,3,-1,32,6,1,relu
0.698,0.037,2,2,128,1,4,LeakyRelu
0.698,0.065,2,2,128,1,1,relu
0.698,0.052,2,2,256,6,6,relu
0.698,0.07,3,2,32,4,1,tanh
0.698,0.032,3,2,32,1,4,relu
0.698,0.049,2,2,128,4,4,tanh
0.698,0.022,2,2,32,6,1,tanh
0.698,0.045,2,-1,32,6,1,tanh
0.697,0.023,3,2,128,6,4,tanh
0.697,0.022,3,2,32,6,4,LeakyRelu
0.697,0.017,3,-1,256,4,4,LeakyRelu
0.697,0.037,2,-1,128,1,4,relu
0.697,0.05,3,-1,256,6,6,tanh
0.696,0.033,2,2,256,6,4,LeakyRelu
0.696,0.044,2,2,256,1,6,tanh
0.696,0.059,3,2,32,4,6,relu
0.696,0.044,4,-1,128,4,4,LeakyRelu
0.696,0.052,3,2,256,6,4,relu
0.695,0.02,3,-1,128,1,6,relu
0.695,0.056,2,2,32,1,6,tanh
0.695,0.017,2,2,256,1,6,relu
0.694,0.025,2,2,256,6,1,relu
0.694,0.051,2,2,32,1,1,tanh
0.694,0.065,4,2,256,4,1,tanh
0.693,0.028,3,-1,32,1,1,relu
0.693,0.086,4,2,256,1,4,LeakyRelu
0.693,0.028,4,2,128,4,1,tanh
0.692,0.048,2,2,32,4,6,relu
0.692,0.017,4,-1,32,4,1,relu
0.692,0.023,2,2,256,1,1,tanh
0.691,0.054,4,-1,128,6,1,tanh
0.691,0.057,4,-1,32,6,1,relu
0.691,0.072,4,2,32,4,1,relu
0.691,0.021,4,-1,256,1,6,relu
0.691,0.032,2,-1,32,1,4,relu
0.69,0.06,3,-1,32,6,6,relu
0.69,0.061,4,2,128,6,4,LeakyRelu
0.69,0.023,3,-1,256,4,4,tanh
0.69,0.055,2,-1,32,6,4,tanh
0.69,0.06,3,-1,128,6,6,LeakyRelu
0.689,0.012,2,2,32,6,1,relu
0.689,0.054,3,-1,32,4,1,tanh
0.688,0.028,2,2,128,6,1,LeakyRelu
0.688,0.02,2,-1,256,1,1,relu
0.688,0.074,2,-1,128,4,6,tanh
0.688,0.048,2,-1,32,6,1,relu
0.688,0.042,3,-1,128,4,1,relu
0.688,0.025,3,2,128,4,6,tanh
0.688,0.058,3,-1,128,1,1,LeakyRelu
0.687,0.071,2,2,128,6,4,tanh
0.687,0.052,2,2,128,4,1,tanh
0.687,0.052,3,2,128,1,6,relu
0.687,0.086,3,2,32,4,4,relu
0.687,0.033,4,-1,32,1,6,relu
0.687,0.057,2,-1,128,4,1,LeakyRelu
0.686,0.066,3,2,128,1,4,LeakyRelu
0.686,0.05,3,-1,128,1,1,relu
0.686,0.045,4,2,32,6,4,relu
0.686,0.057,3,2,32,6,4,relu
0.686,0.046,2,-1,256,6,6,LeakyRelu
0.686,0.061,4,-1,256,6,1,tanh
0.685,0.087,4,-1,32,6,6,relu
0.685,0.056,2,-1,32,4,1,relu
0.685,0.071,4,2,32,6,6,relu
0.685,0.047,3,2,256,1,1,relu
0.685,0.052,4,-1,128,1,1,relu
0.685,0.049,2,-1,32,6,4,relu
0.685,0.013,2,-1,256,6,6,tanh
0.685,0.028,2,2,128,4,1,relu
0.684,0.054,4,2,128,4,4,relu
0.684,0.02,4,-1,256,1,1,tanh
0.684,0.06,2,-1,256,1,4,LeakyRelu
0.683,0.027,2,-1,128,6,4,relu
0.683,0.019,2,2,256,4,4,LeakyRelu
0.683,0.048,4,-1,128,6,4,relu
0.683,0.049,3,-1,32,4,6,tanh
0.683,0.028,2,2,256,4,1,tanh
0.683,0.092,2,-1,32,1,1,tanh
0.683,0.051,2,-1,128,1,1,tanh
0.683,0.038,2,2,256,4,4,tanh
0.683,0.084,4,2,128,6,4,relu
0.682,0.053,2,-1,256,1,4,relu
0.682,0.094,4,2,32,6,6,LeakyRelu
0.682,0.033,3,2,128,4,4,relu
0.682,0.082,4,-1,256,1,4,tanh
0.682,0.046,3,-1,32,6,6,tanh
0.682,0.042,3,2,256,6,6,tanh
0.681,0.046,2,2,32,1,1,LeakyRelu
0.681,0.025,3,-1,128,6,6,tanh
0.681,0.03,2,2,256,6,1,LeakyRelu
0.681,0.064,3,2,128,1,1,relu
0.681,0.078,4,-1,256,1,1,relu
0.681,0.034,3,-1,32,4,1,LeakyRelu
0.681,0.024,2,-1,128,4,4,LeakyRelu
0.68,0.081,4,2,128,4,6,tanh
0.68,0.055,2,2,256,6,4,relu
0.679,0.011,2,-1,128,1,4,LeakyRelu
0.679,0.047,4,-1,32,4,1,LeakyRelu
0.679,0.046,3,2,128,6,1,tanh
0.678,0.073,2,2,32,1,6,LeakyRelu
0.678,0.023,3,-1,128,4,4,tanh
0.678,0.107,2,2,32,6,4,tanh
0.677,0.066,2,-1,256,6,6,relu
0.676,0.042,4,-1,256,4,1,tanh
0.676,0.054,2,2,256,1,1,relu
0.676,0.05,3,2,128,4,4,LeakyRelu
0.676,0.08,2,-1,128,6,4,LeakyRelu
0.676,0.065,4,-1,128,4,4,tanh
0.676,0.063,2,2,128,4,6,relu
0.676,0.052,3,2,32,6,1,relu
0.675,0.073,4,2,128,6,1,LeakyRelu
0.675,0.052,2,-1,128,6,6,relu
0.674,0.071,2,2,128,6,4,relu
0.674,0.082,2,2,256,6,6,tanh
0.673,0.048,2,-1,256,4,4,relu
0.673,0.067,4,2,256,4,6,LeakyRelu
0.672,0.091,4,2,32,6,1,relu
0.671,0.078,3,-1,256,6,6,LeakyRelu
0.671,0.04,2,2,128,4,6,LeakyRelu
0.671,0.053,3,-1,128,6,1,tanh
0.671,0.066,2,-1,128,6,1,LeakyRelu
0.671,0.019,3,2,128,6,6,tanh
0.67,0.063,4,2,32,6,1,LeakyRelu
0.669,0.082,4,2,128,4,1,relu
0.668,0.046,3,-1,32,1,4,tanh
0.668,0.034,4,-1,128,4,6,LeakyRelu
0.668,0.075,2,-1,256,4,6,tanh
0.667,0.06,3,-1,128,4,6,LeakyRelu
0.666,0.056,4,2,256,4,4,LeakyRelu
0.666,0.057,2,2,256,1,1,LeakyRelu
0.665,0.066,2,-1,256,4,4,LeakyRelu
0.665,0.06,3,-1,128,4,1,LeakyRelu
0.664,0.055,3,2,256,4,6,LeakyRelu
0.664,0.094,3,2,256,4,4,tanh
0.664,0.056,2,-1,256,6,1,relu
0.663,0.083,4,2,128,4,4,LeakyRelu
0.663,0.092,2,-1,128,4,1,relu
0.663,0.018,2,-1,256,4,1,relu
0.663,0.061,2,2,32,1,1,relu
